name,cv_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_pr_auc,test50_accuracy,test50_precision,test50_recall,test50_f1,test50_roc_auc,test50_pr_auc,test50_tn,test50_fp,test50_fn,test50_tp,best_accuracy,best_accuracy_threshold,best_f1,best_f1_threshold,best_cost,best_cost_recall
Voting focused weights A,0.8067103125132977,0.6700432257902497,0.5357859531772575,0.5948390357735396,0.8501693628691134,0.6692292636490919,0.8119233498935415,0.6872852233676976,0.5347593582887701,0.6015037593984962,0.8495802009868506,0.668556331989406,944,91,174,200,0.8126330731014905,0.51,0.6376146788990825,0.33,592.0,0.9117647058823529
Voting focused weights B,0.8065337958490215,0.6683539407989606,0.5384615384615384,0.5958934329735285,0.8502794203812872,0.6700108580193544,0.8133427963094393,0.688135593220339,0.5427807486631016,0.6068759342301944,0.849125526363378,0.6676879139377435,943,92,171,203,0.8147622427253371,0.51,0.6349942062572422,0.34,589.0,0.9117647058823529
Voting focused balanced,0.807065237091825,0.6697915828431389,0.5391304347826086,0.5966968785576363,0.850450124450257,0.6699112640427681,0.8105039034776437,0.6838487972508591,0.5320855614973262,0.5984962406015037,0.8494820326022372,0.6687277565904967,943,92,175,199,0.815471965933286,0.51,0.6376146788990825,0.33,597.0,0.9117647058823529
Stacking focused,0.8072431721935821,0.6747272928287222,0.5284280936454849,0.5922680700304386,0.8506889786642944,0.6709118722846227,0.8119233498935415,0.6912280701754386,0.5267379679144385,0.5978755690440061,0.849412281381591,0.6682379502042992,947,88,177,197,0.8126330731014905,0.48,0.638095238095238,0.3,593.0,0.9224598930481284
